N,array_type,time
500,random,59
600,random,72
700,random,124
800,random,100
900,random,113
1000,random,144
1100,random,145
1200,random,162
1300,random,179
1400,random,191
1500,random,204
1600,random,223
1700,random,246
1800,random,252
1900,random,267
2000,random,291
2100,random,298
2200,random,318
2300,random,345
2400,random,346
2500,random,367
2600,random,408
2700,random,404
2800,random,413
2900,random,428
3000,random,487
3100,random,505
3200,random,515
3300,random,499
3400,random,872
3500,random,559
3600,random,527
3700,random,617
3800,random,689
3900,random,751
4000,random,608
4100,random,613
4200,random,636
4300,random,678
4400,random,653
4500,random,664
4600,random,1021
4700,random,1001
4800,random,1034
4900,random,1041
5000,random,995
5100,random,805
5200,random,852
5300,random,814
5400,random,819
5500,random,844
5600,random,941
5700,random,896
5800,random,919
5900,random,912
6000,random,938
6100,random,935
6200,random,953
6300,random,1168
6400,random,1394
6500,random,1287
6600,random,1113
6700,random,1072
6800,random,1066
6900,random,1130
7000,random,1123
7100,random,1130
7200,random,1123
7300,random,1158
7400,random,1192
7500,random,1392
7600,random,1590
7700,random,1248
7800,random,1240
7900,random,1274
8000,random,1279
8100,random,1330
8200,random,1342
8300,random,1321
8400,random,1366
8500,random,1359
8600,random,1509
8700,random,1433
8800,random,1469
8900,random,1470
9000,random,1473
9100,random,1504
9200,random,1497
9300,random,1584
9400,random,1562
9500,random,1559
9600,random,1554
9700,random,2043
9800,random,2148
9900,random,2089
10000,random,2141
10100,random,3124
10200,random,2195
10300,random,2241
10400,random,2353
10500,random,2213
10600,random,1939
10700,random,1752
10800,random,1825
10900,random,1804
11000,random,1874
11100,random,2135
11200,random,3026
11300,random,2094
11400,random,1952
11500,random,1946
11600,random,1975
11700,random,1991
11800,random,2014
11900,random,2727
12000,random,3003
12100,random,2138
12200,random,2101
12300,random,2072
12400,random,2132
12500,random,2327
12600,random,2643
12700,random,2425
12800,random,2233
12900,random,2285
13000,random,2519
13100,random,3344
13200,random,2518
13300,random,2853
13400,random,2744
13500,random,2327
13600,random,2280
13700,random,2357
13800,random,2608
13900,random,2686
14000,random,2541
14100,random,2407
14200,random,2425
14300,random,2674
14400,random,2835
14500,random,2636
14600,random,2538
14700,random,2521
14800,random,2715
14900,random,2599
15000,random,3071
