N,array_type,time
500,random,70
600,random,84
700,random,103
800,random,116
900,random,133
1000,random,166
1100,random,167
1200,random,197
1300,random,211
1400,random,235
1500,random,243
1600,random,265
1700,random,361
1800,random,397
1900,random,411
2000,random,378
2100,random,346
2200,random,369
2300,random,401
2400,random,398
2500,random,514
2600,random,451
2700,random,469
2800,random,489
2900,random,520
3000,random,526
3100,random,541
3200,random,589
3300,random,609
3400,random,605
3500,random,602
3600,random,769
3700,random,677
3800,random,752
3900,random,710
4000,random,699
4100,random,742
4200,random,785
4300,random,778
4400,random,832
4500,random,845
4600,random,930
4700,random,848
4800,random,884
4900,random,917
5000,random,927
5100,random,957
5200,random,1006
5300,random,1013
5400,random,1058
5500,random,1023
5600,random,1051
5700,random,1083
5800,random,1143
5900,random,1097
6000,random,1166
6100,random,1124
6200,random,1156
6300,random,1223
6400,random,1201
6500,random,1507
6600,random,1339
6700,random,1993
6800,random,1687
6900,random,1476
7000,random,1414
7100,random,1347
7200,random,1386
7300,random,1425
7400,random,1424
7500,random,1413
7600,random,1599
7700,random,1515
7800,random,1591
7900,random,1567
8000,random,1555
8100,random,1590
8200,random,1550
8300,random,1600
8400,random,2033
8500,random,1636
8600,random,1701
8700,random,1716
8800,random,2592
8900,random,2125
9000,random,1820
9100,random,1903
9200,random,1859
9300,random,1891
9400,random,1928
9500,random,2422
9600,random,1969
9700,random,1991
9800,random,2065
9900,random,2053
10000,random,2062
10100,random,2684
10200,random,2442
10300,random,2097
10400,random,2062
10500,random,2074
10600,random,2080
10700,random,2083
10800,random,2139
10900,random,2192
11000,random,2544
11100,random,2645
11200,random,2280
11300,random,2222
11400,random,2340
11500,random,2447
11600,random,2361
11700,random,2503
11800,random,2392
11900,random,2463
12000,random,2449
12100,random,2540
12200,random,2507
12300,random,2554
12400,random,3059
12500,random,2743
12600,random,2570
12700,random,2654
12800,random,2674
12900,random,2762
13000,random,2851
13100,random,2716
13200,random,2775
13300,random,3130
13400,random,3468
13500,random,3467
13600,random,3040
13700,random,3018
13800,random,2981
13900,random,3060
14000,random,3515
14100,random,2973
14200,random,2969
14300,random,20380
14400,random,6540
14500,random,4717
14600,random,3310
14700,random,3206
14800,random,3664
14900,random,3111
15000,random,3195
15100,random,3703
15200,random,3214
15300,random,3161
15400,random,3249
15500,random,3329
15600,random,3335
15700,random,3375
15800,random,3383
15900,random,3670
16000,random,3483
16100,random,3412
16200,random,3506
16300,random,3466
16400,random,4961
16500,random,3920
16600,random,3396
16700,random,3367
16800,random,3628
16900,random,3162
17000,random,3215
17100,random,3195
17200,random,3061
17300,random,6330
17400,random,4835
17500,random,4645
17600,random,4818
17700,random,3916
17800,random,3790
17900,random,3752
18000,random,3519
18100,random,3256
18200,random,3177
18300,random,3145
18400,random,3287
18500,random,2998
18600,random,2937
18700,random,2914
18800,random,2748
18900,random,2702
19000,random,4159
19100,random,5631
19200,random,4534
19300,random,4151
19400,random,4392
19500,random,4403
19600,random,4270
19700,random,4469
19800,random,4359
19900,random,4420
20000,random,4568
20100,random,5726
20200,random,5451
20300,random,5751
20400,random,5269
20500,random,4504
20600,random,4841
20700,random,4805
20800,random,4761
20900,random,5325
21000,random,6057
21100,random,4869
21200,random,6183
21300,random,6060
21400,random,5788
21500,random,5775
21600,random,5895
21700,random,5734
21800,random,6224
21900,random,6187
22000,random,5129
22100,random,4893
22200,random,4886
22300,random,5335
22400,random,4922
22500,random,4940
22600,random,4946
22700,random,5106
22800,random,4872
22900,random,5058
23000,random,4929
23100,random,5072
23200,random,5053
23300,random,5311
23400,random,4663
23500,random,4421
23600,random,4390
23700,random,4184
23800,random,4027
23900,random,3829
24000,random,4076
24100,random,3691
24200,random,3604
24300,random,3406
24400,random,3321
24500,random,3189
24600,random,7181
24700,random,7137
24800,random,6870
24900,random,5686
25000,random,7742
25100,random,7331
25200,random,6453
25300,random,5634
25400,random,5366
25500,random,5160
25600,random,4973
25700,random,4720
25800,random,4758
25900,random,4381
26000,random,4362
26100,random,4083
26200,random,3971
26300,random,3736
26400,random,3799
26500,random,3701
26600,random,5739
26700,random,7597
26800,random,7635
26900,random,6317
27000,random,8194
27100,random,6330
27200,random,5386
27300,random,5241
27400,random,5017
27500,random,4671
27600,random,4607
27700,random,4415
27800,random,4261
27900,random,4120
28000,random,3948
28100,random,3921
28200,random,3730
28300,random,3644
28400,random,3630
28500,random,3614
28600,random,3647
28700,random,4347
28800,random,4406
28900,random,8506
29000,random,3757
29100,random,7950
29200,random,7095
29300,random,3832
29400,random,3794
29500,random,3750
29600,random,4530
29700,random,3942
29800,random,3810
29900,random,3779
30000,random,3836
30100,random,8506
30200,random,7007
30300,random,4049
30400,random,4018
30500,random,3992
30600,random,3941
30700,random,3974
30800,random,3863
30900,random,4027
31000,random,6260
31100,random,9457
31200,random,6150
31300,random,8723
31400,random,7651
31500,random,9253
31600,random,8056
31700,random,7287
31800,random,7544
31900,random,7705
32000,random,7235
32100,random,7475
32200,random,8860
32300,random,9137
32400,random,8517
32500,random,7826
32600,random,7600
32700,random,7460
32800,random,7295
32900,random,7472
33000,random,8050
33100,random,7067
33200,random,6797
33300,random,6364
33400,random,6149
33500,random,5697
33600,random,5403
33700,random,5243
33800,random,4950
33900,random,4748
34000,random,4565
34100,random,4494
34200,random,4515
34300,random,4368
34400,random,4566
34500,random,4498
34600,random,4463
34700,random,4435
34800,random,4480
34900,random,4476
35000,random,4486
35100,random,7276
35200,random,4635
35300,random,4532
35400,random,4535
35500,random,4640
35600,random,4572
35700,random,4783
35800,random,4799
35900,random,4756
36000,random,8839
36100,random,10536
36200,random,8957
36300,random,7915
36400,random,4876
36500,random,4852
36600,random,4910
36700,random,4804
36800,random,4820
36900,random,4804
37000,random,4932
37100,random,4798
37200,random,4979
37300,random,5182
37400,random,4915
37500,random,4934
37600,random,9156
37700,random,10618
37800,random,7893
37900,random,5100
38000,random,5459
38100,random,5255
38200,random,4905
38300,random,9700
38400,random,9075
38500,random,5087
38600,random,5195
38700,random,5137
38800,random,5048
38900,random,4983
39000,random,6660
39100,random,11268
39200,random,6435
39300,random,5273
39400,random,5213
39500,random,5441
39600,random,5193
39700,random,5248
39800,random,5338
39900,random,5296
40000,random,5209
40100,random,12162
40200,random,7184
40300,random,5404
40400,random,5529
40500,random,5425
40600,random,5466
40700,random,5371
40800,random,5344
40900,random,5423
41000,random,5343
41100,random,5511
41200,random,5625
41300,random,5460
41400,random,5393
41500,random,5444
41600,random,5814
41700,random,5541
41800,random,5596
41900,random,5698
42000,random,5645
42100,random,5730
42200,random,5644
42300,random,5684
42400,random,5941
42500,random,6062
42600,random,5605
42700,random,5947
42800,random,5631
42900,random,5773
43000,random,5772
43100,random,5785
43200,random,5733
43300,random,5889
43400,random,5789
43500,random,5952
43600,random,6027
43700,random,5931
43800,random,5937
43900,random,5818
44000,random,5899
44100,random,5890
44200,random,5871
44300,random,5885
44400,random,5759
44500,random,5827
44600,random,6016
44700,random,5849
44800,random,5949
44900,random,6027
45000,random,5976
45100,random,14673
45200,random,8651
45300,random,6118
45400,random,6114
45500,random,6033
45600,random,6053
45700,random,6092
45800,random,6055
45900,random,6031
46000,random,6214
46100,random,6195
46200,random,6141
46300,random,6040
46400,random,6262
