N,array_type,time
500,random,244
600,random,256
700,random,292
800,random,338
900,random,394
1000,random,427
1100,random,480
1200,random,510
1300,random,555
1400,random,601
1500,random,685
1600,random,721
1700,random,774
1800,random,1269
1900,random,898
2000,random,912
2100,random,976
2200,random,1009
2300,random,1068
2400,random,1109
2500,random,1184
2600,random,1137
2700,random,1204
2800,random,1258
2900,random,1302
3000,random,1340
3100,random,1370
3200,random,1517
3300,random,1458
3400,random,1559
3500,random,1537
3600,random,1563
3700,random,1618
3800,random,1667
3900,random,1717
4000,random,1763
4100,random,1995
4200,random,1907
4300,random,1906
4400,random,1950
4500,random,2009
4600,random,2049
4700,random,2090
4800,random,2234
4900,random,2233
5000,random,2279
5100,random,2323
5200,random,2330
5300,random,2364
5400,random,2415
5500,random,2934
5600,random,2504
5700,random,2748
5800,random,2821
5900,random,2669
6000,random,3119
6100,random,4112
6200,random,3441
6300,random,2867
6400,random,2962
6500,random,2929
6600,random,4555
6700,random,3690
6800,random,3074
6900,random,3478
7000,random,3490
7100,random,3239
7200,random,3286
7300,random,3347
7400,random,3589
7500,random,3423
7600,random,3439
7700,random,3527
7800,random,3528
7900,random,3677
8000,random,3592
8100,random,3636
8200,random,3698
8300,random,4262
8400,random,3782
8500,random,3882
8600,random,3899
8700,random,4061
8800,random,3990
8900,random,4083
9000,random,4137
9100,random,4664
9200,random,4226
9300,random,4297
9400,random,4872
9500,random,4321
9600,random,4421
9700,random,5887
9800,random,8237
9900,random,7007
10000,random,4856
10100,random,4875
10200,random,4924
10300,random,4792
10400,random,4874
10500,random,4864
10600,random,5084
10700,random,4884
10800,random,7000
10900,random,5579
11000,random,5072
11100,random,5444
11200,random,5173
11300,random,5518
11400,random,5558
11500,random,5277
11600,random,5299
11700,random,5492
11800,random,5397
11900,random,6700
12000,random,8071
12100,random,5537
12200,random,5715
12300,random,6455
12400,random,5876
12500,random,5666
12600,random,5538
12700,random,5543
12800,random,5452
12900,random,5327
13000,random,7019
13100,random,5420
13200,random,5577
13300,random,5488
13400,random,5604
13500,random,5888
13600,random,5730
13700,random,5711
13800,random,6033
13900,random,5818
14000,random,6058
14100,random,5868
14200,random,5955
14300,random,5959
14400,random,6676
14500,random,6760
14600,random,7132
14700,random,6078
14800,random,6376
14900,random,6172
15000,random,6608
15100,random,6403
15200,random,6251
15300,random,7246
15400,random,6434
15500,random,6995
15600,random,6465
15700,random,6644
15800,random,6494
15900,random,7371
16000,random,10671
16100,random,6811
16200,random,6732
16300,random,7008
16400,random,6710
16500,random,7039
16600,random,6909
16700,random,6874
16800,random,7134
16900,random,7024
17000,random,7984
17100,random,7665
17200,random,7778
17300,random,7198
17400,random,7326
17500,random,10285
17600,random,7903
17700,random,7312
17800,random,7491
17900,random,7903
18000,random,7821
18100,random,7552
18200,random,13098
18300,random,7983
18400,random,7760
18500,random,8229
18600,random,7763
18700,random,10019
18800,random,8443
18900,random,7903
19000,random,8235
19100,random,8018
19200,random,9489
19300,random,9157
19400,random,8487
19500,random,8490
19600,random,19130
19700,random,8582
19800,random,8510
19900,random,8339
20000,random,8748
20100,random,8526
20200,random,8884
20300,random,9813
20400,random,9333
20500,random,8809
20600,random,8674
20700,random,9375
20800,random,9281
20900,random,9420
21000,random,9264
21100,random,9216
21200,random,9322
21300,random,9020
21400,random,9561
21500,random,9184
21600,random,9238
21700,random,9915
21800,random,9138
21900,random,9359
22000,random,10032
22100,random,10107
22200,random,9608
22300,random,14122
22400,random,10559
22500,random,9482
22600,random,9704
22700,random,9601
22800,random,9508
22900,random,10939
23000,random,10060
23100,random,10746
23200,random,10853
23300,random,10613
23400,random,10581
23500,random,10794
23600,random,10683
23700,random,10087
23800,random,10268
23900,random,10039
24000,random,12777
24100,random,10356
24200,random,11287
24300,random,11555
24400,random,13728
24500,random,11799
24600,random,11343
24700,random,11699
24800,random,18528
24900,random,10489
25000,random,10549
25100,random,13174
25200,random,12500
25300,random,11086
25400,random,10675
25500,random,13793
25600,random,11209
25700,random,11708
25800,random,10861
25900,random,11653
26000,random,13912
26100,random,11410
26200,random,11548
26300,random,11191
26400,random,11591
26500,random,11593
26600,random,11227
26700,random,11546
26800,random,11343
26900,random,16370
27000,random,12065
27100,random,11769
27200,random,11910
27300,random,11909
27400,random,13578
27500,random,12098
27600,random,12083
27700,random,11815
27800,random,12431
27900,random,12245
28000,random,12701
28100,random,11932
28200,random,13540
28300,random,12929
28400,random,13449
28500,random,16046
28600,random,12460
28700,random,12717
28800,random,12408
28900,random,13688
29000,random,15968
29100,random,14062
29200,random,13551
29300,random,13702
29400,random,13244
29500,random,13196
29600,random,12843
29700,random,13586
29800,random,13072
29900,random,13301
30000,random,13302
30100,random,15646
30200,random,14264
30300,random,14332
30400,random,13051
30500,random,13613
30600,random,13503
30700,random,13168
30800,random,14680
30900,random,13182
31000,random,13694
31100,random,15360
31200,random,14328
31300,random,13318
31400,random,13397
31500,random,13309
31600,random,21562
31700,random,14559
31800,random,13799
31900,random,13474
32000,random,15913
32100,random,15660
32200,random,14377
32300,random,15043
32400,random,14353
32500,random,14372
32600,random,14175
32700,random,14529
32800,random,14587
32900,random,17408
33000,random,14700
