N,array_type,time
500,random,92
600,random,85
700,random,126
800,random,127
900,random,142
1000,random,174
1100,random,177
1200,random,192
1300,random,218
1400,random,254
1500,random,275
1600,random,284
1700,random,310
1800,random,317
1900,random,344
2000,random,358
2100,random,377
2200,random,391
2300,random,399
2400,random,421
2500,random,447
2600,random,496
2700,random,559
2800,random,576
2900,random,596
3000,random,620
3100,random,616
3200,random,654
3300,random,625
3400,random,629
3500,random,614
3600,random,638
3700,random,658
3800,random,689
3900,random,734
4000,random,1236
4100,random,768
4200,random,1201
4300,random,762
4400,random,769
4500,random,963
4600,random,834
4700,random,887
4800,random,988
4900,random,938
5000,random,1062
5100,random,1259
5200,random,1030
5300,random,1045
5400,random,1175
5500,random,1088
5600,random,1122
5700,random,1165
5800,random,1260
5900,random,1423
6000,random,1234
6100,random,1644
6200,random,1420
6300,random,1305
6400,random,1397
6500,random,1332
6600,random,1575
6700,random,1341
6800,random,1361
6900,random,1480
7000,random,1343
7100,random,1518
7200,random,1480
7300,random,1583
7400,random,1458
7500,random,1541
7600,random,1748
7700,random,1516
7800,random,14376
7900,random,1704
8000,random,1612
8100,random,1608
8200,random,1623
8300,random,1603
8400,random,1696
8500,random,1628
8600,random,1918
8700,random,1685
8800,random,2650
8900,random,1742
9000,random,1771
9100,random,1800
9200,random,1769
9300,random,1795
9400,random,1776
9500,random,1800
9600,random,2171
9700,random,1877
9800,random,1885
9900,random,1923
10000,random,2050
10100,random,2830
10200,random,2532
10300,random,2256
10400,random,2101
10500,random,2226
10600,random,2244
10700,random,2246
10800,random,2249
10900,random,2337
11000,random,2350
11100,random,2285
11200,random,2362
11300,random,2408
11400,random,2279
11500,random,2384
11600,random,2423
11700,random,2393
11800,random,2433
11900,random,2511
12000,random,2519
12100,random,2569
12200,random,2844
12300,random,2517
12400,random,2639
12500,random,2629
12600,random,2611
12700,random,2603
12800,random,2672
12900,random,2702
13000,random,2726
13100,random,2662
13200,random,2749
13300,random,2863
13400,random,2870
13500,random,2843
13600,random,2840
13700,random,2832
13800,random,2848
13900,random,3701
14000,random,2860
14100,random,2990
14200,random,3013
14300,random,2909
14400,random,4166
14500,random,2965
14600,random,3705
14700,random,4003
14800,random,3233
14900,random,2990
15000,random,3105
15100,random,3301
15200,random,3099
15300,random,3184
15400,random,3161
15500,random,3203
15600,random,3196
15700,random,3406
15800,random,4001
15900,random,3820
16000,random,4965
16100,random,4924
16200,random,4799
16300,random,4147
16400,random,4235
16500,random,5888
16600,random,3701
16700,random,6824
16800,random,5147
16900,random,4343
17000,random,5409
17100,random,4722
17200,random,4551
17300,random,7025
17400,random,5956
17500,random,4659
17600,random,4945
17700,random,4490
17800,random,4125
17900,random,3626
18000,random,4853
18100,random,3928
18200,random,5209
18300,random,5106
18400,random,3812
18500,random,3881
18600,random,4957
18700,random,4898
18800,random,8073
18900,random,6408
19000,random,4440
19100,random,4330
19200,random,5993
19300,random,4547
19400,random,4453
19500,random,4925
19600,random,5047
19700,random,4383
19800,random,3986
19900,random,4626
20000,random,4590
20100,random,4427
20200,random,4285
20300,random,4202
20400,random,4849
20500,random,5174
20600,random,4785
20700,random,4833
20800,random,5108
20900,random,5090
21000,random,4709
21100,random,5218
21200,random,4919
21300,random,4543
21400,random,5530
21500,random,5627
21600,random,5647
21700,random,5219
21800,random,5323
21900,random,4997
22000,random,5644
22100,random,4897
22200,random,4861
22300,random,5257
22400,random,6371
22500,random,5226
22600,random,5114
22700,random,5211
22800,random,5130
22900,random,5228
23000,random,5099
23100,random,5310
23200,random,5807
23300,random,6715
23400,random,5067
23500,random,12877
23600,random,6006
23700,random,5285
23800,random,5372
23900,random,5323
24000,random,5229
24100,random,5131
24200,random,5325
24300,random,5202
24400,random,5723
24500,random,5897
24600,random,5669
24700,random,5921
24800,random,5447
24900,random,5535
25000,random,6071
25100,random,6410
25200,random,6140
25300,random,12506
25400,random,13115
25500,random,15896
25600,random,6736
25700,random,6404
25800,random,6220
25900,random,6721
26000,random,6128
26100,random,6306
26200,random,6243
26300,random,7471
26400,random,7001
26500,random,5891
26600,random,7252
26700,random,6222
26800,random,5893
26900,random,8580
27000,random,7510
27100,random,6198
27200,random,6419
27300,random,7474
27400,random,6216
27500,random,6887
27600,random,7151
27700,random,7366
27800,random,6164
27900,random,6136
28000,random,7556
28100,random,7343
28200,random,7490
28300,random,6390
28400,random,7204
28500,random,6427
28600,random,6761
28700,random,6581
28800,random,7233
28900,random,8243
29000,random,8418
29100,random,6646
29200,random,6671
29300,random,6957
29400,random,6463
29500,random,8445
29600,random,7661
29700,random,13214
29800,random,7073
29900,random,7251
30000,random,8268
30100,random,7517
30200,random,9010
30300,random,7214
30400,random,8479
30500,random,7222
30600,random,7011
30700,random,7061
30800,random,7070
30900,random,12094
31000,random,8868
31100,random,11760
31200,random,6741
31300,random,7422
31400,random,6929
31500,random,7735
31600,random,7012
31700,random,8439
31800,random,7637
31900,random,9273
32000,random,7287
32100,random,7232
32200,random,6892
32300,random,8124
32400,random,7278
32500,random,7209
32600,random,7140
32700,random,6865
32800,random,7353
32900,random,7196
33000,random,7997
33100,random,7023
33200,random,7114
33300,random,7020
33400,random,7365
33500,random,9415
33600,random,8116
33700,random,7280
33800,random,10141
33900,random,11625
34000,random,9054
34100,random,8947
34200,random,7272
34300,random,7317
34400,random,7271
34500,random,7496
34600,random,7369
34700,random,7476
34800,random,8534
34900,random,10901
35000,random,9704
35100,random,8617
35200,random,10210
35300,random,7952
35400,random,7529
35500,random,7641
35600,random,7558
35700,random,7653
35800,random,8295
35900,random,11122
36000,random,7781
36100,random,8028
36200,random,9754
36300,random,9663
36400,random,8493
36500,random,8656
36600,random,8103
36700,random,8083
36800,random,8081
36900,random,8528
37000,random,7828
37100,random,8267
37200,random,7799
37300,random,8791
37400,random,8218
37500,random,8150
37600,random,8483
37700,random,8045
37800,random,9221
37900,random,11437
38000,random,8343
38100,random,8721
38200,random,11365
38300,random,10011
38400,random,8528
38500,random,8828
38600,random,8426
38700,random,8247
38800,random,8734
38900,random,8747
39000,random,8325
39100,random,8246
39200,random,9425
39300,random,8387
39400,random,9050
39500,random,8443
39600,random,8401
39700,random,9003
39800,random,9796
39900,random,9635
40000,random,10540
40100,random,9915
40200,random,10124
40300,random,9693
40400,random,9565
40500,random,9221
40600,random,9517
40700,random,9065
40800,random,8792
40900,random,10738
41000,random,10826
41100,random,9115
41200,random,8957
41300,random,9057
41400,random,8823
41500,random,9036
41600,random,9048
41700,random,9134
41800,random,9335
41900,random,12871
42000,random,13606
42100,random,16119
42200,random,10890
42300,random,10390
42400,random,11960
42500,random,10795
42600,random,10428
42700,random,10820
42800,random,10000
42900,random,10984
43000,random,9765
43100,random,9774
43200,random,10102
43300,random,9802
43400,random,9813
43500,random,9999
43600,random,9829
43700,random,10015
43800,random,10071
43900,random,9841
44000,random,10126
44100,random,10275
44200,random,9963
44300,random,10219
44400,random,10709
44500,random,11010
44600,random,10788
44700,random,13205
44800,random,10233
44900,random,10275
45000,random,10364
45100,random,12752
45200,random,10370
45300,random,10473
45400,random,10555
45500,random,11075
45600,random,9894
45700,random,10751
45800,random,9205
45900,random,9350
46000,random,9447
46100,random,9285
46200,random,9539
46300,random,9311
46400,random,9378
46500,random,9414
46600,random,9278
46700,random,9596
46800,random,10308
46900,random,10005
47000,random,11498
47100,random,9831
47200,random,9711
47300,random,9695
47400,random,9516
47500,random,9533
47600,random,9843
47700,random,9763
47800,random,10182
47900,random,10219
48000,random,11007
48100,random,10520
48200,random,11291
48300,random,9887
48400,random,9805
48500,random,9815
48600,random,9789
48700,random,10202
48800,random,9936
48900,random,10799
49000,random,10074
49100,random,10084
49200,random,10141
49300,random,10220
49400,random,10245
49500,random,9966
49600,random,10037
49700,random,9910
49800,random,10080
49900,random,10280
50000,random,9991
50100,random,11011
50200,random,10549
50300,random,10009
50400,random,10040
50500,random,11752
50600,random,10514
50700,random,10512
50800,random,10408
50900,random,10388
51000,random,10210
51100,random,10381
51200,random,10660
51300,random,10308
51400,random,10339
51500,random,19785
51600,random,11589
51700,random,10595
51800,random,10428
51900,random,10815
52000,random,10557
52100,random,10489
52200,random,10723
52300,random,11165
52400,random,10465
52500,random,10984
52600,random,11385
52700,random,10857
52800,random,11349
52900,random,10953
53000,random,10816
53100,random,10598
53200,random,10893
53300,random,10707
53400,random,10801
53500,random,12904
53600,random,10951
53700,random,11371
53800,random,11013
53900,random,11102
54000,random,10960
54100,random,10953
54200,random,10874
54300,random,11246
54400,random,10780
54500,random,10740
54600,random,10901
54700,random,11371
54800,random,11100
54900,random,11895
55000,random,11760
55100,random,13236
55200,random,11037
55300,random,11881
55400,random,13717
55500,random,11385
55600,random,12097
55700,random,11648
55800,random,11629
55900,random,11118
56000,random,11144
56100,random,11165
56200,random,14025
56300,random,11656
56400,random,11330
56500,random,11769
56600,random,11393
56700,random,11297
56800,random,11758
56900,random,13927
57000,random,12015
57100,random,11750
57200,random,11984
57300,random,19115
57400,random,12571
57500,random,13112
57600,random,14679
57700,random,14097
57800,random,13142
57900,random,15404
58000,random,15174
58100,random,13370
58200,random,13392
58300,random,14371
58400,random,13222
58500,random,12353
58600,random,11642
58700,random,11794
58800,random,11748
58900,random,11926
59000,random,11766
59100,random,12763
59200,random,12248
59300,random,12015
59400,random,11928
59500,random,12008
59600,random,11998
59700,random,11927
59800,random,11864
59900,random,12582
60000,random,12375
60100,random,13321
60200,random,12427
60300,random,12046
60400,random,12067
60500,random,12484
60600,random,12112
60700,random,12035
60800,random,12653
60900,random,12083
61000,random,12216
61100,random,13064
61200,random,12471
61300,random,12419
61400,random,12149
61500,random,12327
61600,random,12368
61700,random,13263
61800,random,12557
61900,random,12581
62000,random,13066
62100,random,12931
62200,random,13673
62300,random,12868
62400,random,12665
62500,random,12533
62600,random,12582
62700,random,13143
62800,random,13685
62900,random,14550
63000,random,12668
63100,random,12641
63200,random,12685
63300,random,12844
63400,random,12672
63500,random,12538
63600,random,12774
63700,random,12607
63800,random,12815
63900,random,13807
64000,random,12910
64100,random,12951
64200,random,12911
64300,random,13058
64400,random,14257
64500,random,13256
64600,random,13553
64700,random,13121
64800,random,13223
64900,random,12787
65000,random,12930
65100,random,14561
65200,random,13181
65300,random,13076
65400,random,15982
65500,random,18264
65600,random,14799
65700,random,14609
65800,random,16348
65900,random,15767
66000,random,14086
66100,random,13220
66200,random,13284
66300,random,13789
66400,random,13610
66500,random,13512
66600,random,13731
66700,random,13420
66800,random,14454
66900,random,13997
67000,random,13736
67100,random,14971
67200,random,13941
67300,random,13651
67400,random,13841
67500,random,14007
67600,random,15402
67700,random,13779
67800,random,13426
67900,random,13594
68000,random,13464
68100,random,13509
68200,random,13667
68300,random,13728
68400,random,14164
68500,random,13970
68600,random,14220
68700,random,14571
