N,array_type,time
500,random,150
600,random,203
700,random,268
800,random,375
900,random,911
1000,random,519
1100,random,608
1200,random,715
1300,random,1550
1400,random,681
1500,random,738
1600,random,864
1700,random,903
1800,random,968
1900,random,1166
2000,random,781
2100,random,827
2200,random,1490
2300,random,1502
2400,random,1189
2500,random,1084
2600,random,1141
2700,random,1152
2800,random,1175
2900,random,1590
3000,random,1608
3100,random,1900
3200,random,1700
3300,random,3305
3400,random,1978
3500,random,1921
3600,random,2495
3700,random,4847
3800,random,4801
3900,random,3141
4000,random,1990
4100,random,3572
4200,random,3350
4300,random,3602
4400,random,4775
4500,random,4723
4600,random,3376
4700,random,12769
4800,random,10229
4900,random,3236
5000,random,8353
5100,random,3981
5200,random,5339
5300,random,5441
5400,random,9499
5500,random,11677
5600,random,6901
5700,random,10060
5800,random,4820
5900,random,6320
6000,random,8966
6100,random,7147
6200,random,13967
6300,random,16748
6400,random,9367
6500,random,5100
6600,random,10987
6700,random,10029
6800,random,5904
6900,random,5003
7000,random,4869
7100,random,5308
7200,random,4932
7300,random,7224
7400,random,6147
7500,random,9083
7600,random,6369
7700,random,5825
7800,random,5274
7900,random,4956
8000,random,4520
8100,random,4061
8200,random,6082
8300,random,4782
8400,random,5986
8500,random,8801
8600,random,4590
8700,random,4552
8800,random,5581
8900,random,4774
9000,random,4588
9100,random,5275
9200,random,6605
9300,random,5915
9400,random,6965
9500,random,6055
9600,random,6313
9700,random,8753
9800,random,6168
9900,random,9089
10000,random,5193
10100,random,11694
10200,random,7205
10300,random,8259
10400,random,6913
10500,random,9008
10600,random,6452
10700,random,7772
10800,random,7489
10900,random,7364
11000,random,9348
11100,random,9385
11200,random,7443
11300,random,6763
11400,random,10361
11500,random,7526
11600,random,9728
11700,random,7565
11800,random,5928
11900,random,5631
12000,random,7392
12100,random,9041
12200,random,9483
12300,random,7596
12400,random,8864
12500,random,11095
12600,random,12844
12700,random,47203
12800,random,17746
12900,random,20262
13000,random,33412
13100,random,152305
13200,random,17435
13300,random,8747
13400,random,14581
13500,random,10795
13600,random,9446
13700,random,7117
13800,random,9191
13900,random,12139
14000,random,9019
14100,random,7117
14200,random,6437
14300,random,8470
14400,random,7334
14500,random,6564
14600,random,9023
14700,random,18179
14800,random,16898
14900,random,18230
15000,random,18561
15100,random,22131
15200,random,17457
15300,random,19096
15400,random,41565
15500,random,20005
15600,random,9497
15700,random,10755
15800,random,8498
15900,random,8812
16000,random,13242
16100,random,10356
16200,random,11705
16300,random,7463
16400,random,6197
16500,random,6017
16600,random,8014
16700,random,6744
16800,random,10847
16900,random,12317
17000,random,7760
17100,random,9128
17200,random,12072
17300,random,10645
17400,random,8112
17500,random,8632
17600,random,17470
17700,random,10607
17800,random,11156
17900,random,12762
18000,random,9491
18100,random,9939
18200,random,11515
18300,random,6465
18400,random,6463
18500,random,6406
18600,random,6519
18700,random,11912
18800,random,8158
18900,random,12277
19000,random,14469
19100,random,14210
19200,random,13086
19300,random,46520
19400,random,14926
19500,random,16116
19600,random,11670
19700,random,12694
19800,random,7649
19900,random,11415
20000,random,14549
20100,random,27432
20200,random,13793
20300,random,12017
20400,random,14700
20500,random,20482
20600,random,9775
20700,random,12375
20800,random,16480
20900,random,14282
21000,random,13663
21100,random,18522
21200,random,13954
21300,random,21457
21400,random,22665
21500,random,33771
21600,random,22957
21700,random,18814
21800,random,16272
21900,random,20775
22000,random,25786
22100,random,15663
22200,random,16564
22300,random,13829
22400,random,13812
22500,random,12660
22600,random,11796
22700,random,12542
22800,random,16859
22900,random,13269
23000,random,15503
23100,random,12822
23200,random,10089
23300
