N,area_type,estimated_area,relative_error
100,wide,1.47875,0.565615
600,wide,0.845,0.105363
1100,wide,0.979432,0.0369656
1600,wide,0.977031,0.034424
2100,wide,0.915417,0.0308099
2600,wide,0.99125,0.049478
3100,wide,0.933589,0.0115704
3600,wide,0.930087,0.015278
4100,wide,0.953201,0.00919415
4600,wide,0.996549,0.0550882
5100,wide,0.925772,0.0198463
5600,wide,0.992121,0.0503997
6100,wide,1.03201,0.0926304
6600,wide,1.02104,0.0810197
7100,wide,0.926822,0.0187344
7600,wide,0.961743,0.0182381
8100,wide,0.958449,0.0147503
8600,wide,0.900269,0.0468475
9100,wide,0.970357,0.0273578
9600,wide,0.925319,0.0203259
10100,wide,0.901473,0.0455729
10600,wide,0.947636,0.00330161
11100,wide,0.964899,0.0215787
11600,wide,0.981584,0.0392442
12100,wide,0.954117,0.0101634
12600,wide,0.984995,0.0428556
13100,wide,0.963526,0.0201252
13600,wide,0.950625,0.0064666
14100,wide,0.927402,0.0181201
14600,wide,0.962924,0.0194879
15100,wide,0.970911,0.0279438
15600,wide,0.923542,0.0222077
16100,wide,0.957186,0.0134125
16600,wide,0.958261,0.0145507
17100,wide,0.924064,0.0216543
17600,wide,0.983033,0.040778
18100,wide,0.925532,0.0201007
18600,wide,0.961983,0.0184913
19100,wide,0.911914,0.0345181
19600,wide,0.984576,0.0424118
20100,wide,0.973221,0.0303903
20600,wide,0.950625,0.0064666
21100,wide,0.955631,0.0117666
21600,wide,0.969207,0.0261403
22100,wide,0.97739,0.0348035
22600,wide,0.934267,0.0108521
23100,wide,0.94148,0.00321562
23600,wide,0.961814,0.018313
24100,wide,0.933532,0.0116303
24600,wide,0.970805,0.0278324
25100,wide,0.919905,0.0260576
25600,wide,0.949387,0.0051561
26100,wide,0.975311,0.032603
26600,wide,0.960155,0.0165565
27100,wide,0.937373,0.00756369
27600,wide,0.970525,0.0275359
28100,wide,0.959646,0.0160179
28600,wide,0.94767,0.0033385
29100,wide,0.964055,0.0206855
29600,wide,0.977745,0.0351796
30100,wide,0.943958,0.000592413
